FID,geom,source
modelled_grid_original.54,"MULTILINESTRING ((862030.3137286555 1482829.2828775644, 861566.4825133058 1482829.2828775644))",gridfinder
modelled_grid_original.55,"MULTILINESTRING ((862494.1449440048 1482829.2828775644, 862030.3137286555 1482829.2828775644))",openstreetmap
modelled_grid_original.56,"MULTILINESTRING ((862494.1449440048 1482829.2828775644, 862957.9761593543 1483305.7097261073, 862957.9761593543 1484258.5878171157, 863421.8073747037 1484735.0390651769, 863421.8073747037 1486164.441653163, 863885.6385900533 1486640.9254730854, 863885.6385900533 1488070.4258438176, 864349.4698054027 1488546.9422803782, 864349.4698054027 1489976.54056821, 864813.301020749 1490453.0896662045, 864813.301020749 1491406.2123820644, 865277.1322360984 1491882.7860055352, 865277.1322360984 1493312.5559717135, 865740.9634514479 1493789.1623350373))",openstreetmap
modelled_grid_original.57,"MULTILINESTRING ((714068.1560323165 1482352.8641566024, 714068.1560323165 1482829.2828775644))",gridfinder
modelled_grid_original.58,"MULTILINESTRING ((714531.9872476659 1482352.8641566024, 714068.1560323165 1482352.8641566024))",gridfinder
modelled_grid_original.59,"MULTILINESTRING ((862494.1449440048 1482352.8641566024, 862494.1449440048 1482829.2828775644))",openstreetmap
modelled_grid_original.60,"MULTILINESTRING ((916298.5659244917 1482352.8641566024, 915370.903493796 1483305.7097261073, 915370.903493796 1483782.1447050262))",gridfinder
modelled_grid_original.61,"MULTILINESTRING ((916762.3971398411 1482352.8641566024, 916298.5659244917 1482352.8641566024))",gridfinder
modelled_grid_original.62,"MULTILINESTRING ((712676.662386268 1481876.4535604224, 712212.8311709185 1482352.8641566024, 713140.4936016175 1483305.7097261073, 713140.4936016175 1483782.1447050262, 712676.662386268 1484258.5878171157, 712676.662386268 1485211.4984520066, 712212.8311709185 1485687.965980403, 712212.8311709185 1486640.9254730854, 711748.999955569 1487117.4174429693, 711748.999955569 1487593.9175656145, 711285.1687402228 1488070.4258438176, 711285.1687402228 1490929.6469365547, 710357.5063095238 1491882.7860055352, 710357.5063095238 1492359.3678097648, 708966.0126634755 1493789.1623350373, 708966.0126634755 1495219.030588019, 709893.6750941745 1496172.3170872126, 709893.6750941745 1497602.3083878732, 709429.843878825 1498078.9885798069, 709429.843878825 1498555.6769889365, 708966.0126634755 1499032.3736180658, 708966.0126634755 1499509.0784700012, 708502.181448126 1499985.7915475492, 708502.181448126 1500939.242390691, 708966.0126634755 1501415.9801618988, 708966.0126634755 1501892.72616994, 709429.843878825 1502369.4804176178, 709429.843878825 1502846.242907741, 710357.5063095238 1503799.7926265434, 710357.5063095238 1504276.5798608374, 709429.843878825 1505230.1790932468, 709429.843878825 1507614.3217609215, 709893.6750941745 1508091.1751032062, 709893.6750941745 1508568.036721628, 708502.181448126 1509998.671261806, 707110.6878020809 1509998.671261806, 706646.8565867314 1509521.784798117, 706183.0253713819 1509521.784798117, 705719.1941560324 1509998.671261806, 705719.1941560324 1510475.5660128696, 707110.6878020809 1511906.3000184156, 707110.6878020809 1512860.1641771828, 707574.5190174303 1513337.1087115211, 707574.5190174303 1514767.9921680903, 708038.3502327797 1515244.969947506, 708038.3502327797 1515721.9560452206, 708502.181448126 1516198.9504640508, 708502.181448126 1517152.9642762989, 708038.3502327797 1517629.9836753458, 708038.3502327797 1518584.047473355, 706183.0253713819 1520492.2751478222, 706183.0253713819 1520969.3529325346, 705255.362940683 1521923.5335609827, 704791.5317253335 1521923.5335609827, 704327.7005099873 1522400.6364103514, 703863.8692946378 1522400.6364103514, 703400.0380792883 1522877.7476202345, 703400.0380792883 1523354.8671934512, 703863.8692946378 1523831.9951328172, 704327.7005099873 1523831.9951328172))",gridfinder
modelled_grid_original.63,"MULTILINESTRING ((713140.4936016175 1481876.4535604224, 712676.662386268 1481876.4535604224))",gridfinder
modelled_grid_original.64,"MULTILINESTRING ((713140.4936016175 1481876.4535604224, 713604.324816967 1481876.4535604224, 714068.1560323165 1482352.8641566024))",gridfinder
modelled_grid_original.65,"MULTILINESTRING ((916298.5659244917 1481876.4535604224, 916298.5659244917 1482352.8641566024))",gridfinder
modelled_grid_original.66,"MULTILINESTRING ((712676.662386268 1481400.0510862283, 712676.662386268 1481876.4535604224))",gridfinder
modelled_grid_original.67,"MULTILINESTRING ((714531.9872476659 1482352.8641566024, 714995.8184630122 1482352.8641566024, 715459.6496783616 1481876.4535604224, 715923.4808937111 1481876.4535604224, 716387.3121090606 1481400.0510862283, 717778.805755109 1481400.0510862283, 718242.6369704584 1481876.4535604224))",gridfinder
modelled_grid_original.68,"MULTILINESTRING ((916298.5659244917 1480447.2704926105, 916298.5659244917 1481876.4535604224))",gridfinder
modelled_grid_original.69,"MULTILINESTRING ((918617.722001239 1480447.2704926105, 916762.3971398411 1482352.8641566024))",gridfinder
modelled_grid_original.70,"MULTILINESTRING ((915834.7347091422 1479970.8923675967, 914443.2410630971 1481400.0510862283, 913979.4098477475 1481400.0510862283, 913515.5786323982 1480923.656731222, 913515.5786323982 1480447.2704926105))",gridfinder
modelled_grid_original.71,"MULTILINESTRING ((916298.5659244917 1479970.8923675967, 915834.7347091422 1479970.8923675967))",gridfinder
modelled_grid_original.72,"MULTILINESTRING ((916298.5659244917 1479970.8923675967, 916298.5659244917 1480447.2704926105))",gridfinder
modelled_grid_original.73,"MULTILINESTRING ((916762.3971398411 1479970.8923675967, 916298.5659244917 1479970.8923675967))",gridfinder
modelled_grid_original.74,"MULTILINESTRING ((916762.3971398411 1479970.8923675967, 918153.8907858896 1479970.8923675967, 918617.722001239 1480447.2704926105))",gridfinder
modelled_grid_original.75,"MULTILINESTRING ((916298.5659244917 1479494.5223533844, 916298.5659244917 1479970.8923675967))",gridfinder
modelled_grid_original.76,"MULTILINESTRING ((888004.8617882031 1479018.1604471772, 887541.0305728535 1479494.5223533844, 887541.0305728535 1483305.7097261073, 888004.8617882031 1483782.1447050262, 888004.8617882031 1488070.4258438176))",gridfinder
modelled_grid_original.77,"MULTILINESTRING ((921864.5405086821 1479018.1604471772, 921400.7092933325 1479494.5223533844, 919545.3844319347 1479494.5223533844, 918617.722001239 1480447.2704926105))",gridfinder
modelled_grid_original.78,"MULTILINESTRING ((888004.8617882031 1478541.8066461836, 888004.8617882031 1479018.1604471772))",gridfinder
modelled_grid_original.79,"MULTILINESTRING ((888468.6930035492 1478541.8066461836, 888004.8617882031 1478541.8066461836))",gridfinder
modelled_grid_original.80,"MULTILINESTRING ((584195.4157345876 1478065.4609476053, 583267.7533038886 1478065.4609476053, 582803.9220885391 1478541.8066461836, 582340.0908731928 1478541.8066461836, 581876.2596578433 1478065.4609476053))",gridfinder
modelled_grid_original.81,"MULTILINESTRING ((584195.4157345876 1478065.4609476053, 585586.909380636 1479494.5223533844, 585586.909380636 1480923.656731222, 586050.7405959822 1481400.0510862283, 586050.7405959822 1483782.1447050262))",gridfinder
modelled_grid_original.82,"MULTILINESTRING ((598574.1834104082 1478065.4609476053, 595791.1961183146 1480923.656731222))",gridfinder
modelled_grid_original.83,"MULTILINESTRING ((598574.1834104082 1478065.4609476053, 599501.8458411039 1478065.4609476053, 599965.6770564533 1478541.8066461836, 600893.3394871523 1478541.8066461836))",gridfinder
modelled_grid_original.84,"MULTILINESTRING ((891251.6802956461 1476636.472438424, 891251.6802956461 1477112.7938465194, 890324.0178649471 1478065.4609476053, 888932.5242188988 1478065.4609476053, 888468.6930035492 1478541.8066461836))",gridfinder
modelled_grid_original.85,"MULTILINESTRING ((915370.903493796 1476636.472438424, 914443.2410630971 1477589.1233486496, 913515.5786323982 1477589.1233486496, 912587.9162016991 1476636.472438424))",gridfinder
modelled_grid_original.86,"MULTILINESTRING ((915834.7347091422 1476636.472438424, 915370.903493796 1476636.472438424))",gridfinder
modelled_grid_original.87,"MULTILINESTRING ((915834.7347091422 1476636.472438424, 916298.5659244917 1477112.7938465194, 916298.5659244917 1479494.5223533844))",gridfinder
modelled_grid_original.88,"MULTILINESTRING ((915834.7347091422 1476160.1591215662, 915834.7347091422 1476636.472438424))",gridfinder
modelled_grid_original.89,"MULTILINESTRING ((581876.2596578433 1475207.5567503958, 581412.4284424939 1475683.8538931545))",gridfinder
modelled_grid_original.90,"MULTILINESTRING ((578165.6099350508 1475207.5567503958, 578629.4411504003 1475207.5567503958, 579093.2723657466 1474731.267690493, 581412.4284424939 1474731.267690493, 581876.2596578433 1475207.5567503958))",gridfinder
modelled_grid_original.91,"MULTILINESTRING ((583267.7533038886 1474731.267690493, 582340.0908731928 1474731.267690493, 581876.2596578433 1475207.5567503958))",gridfinder
modelled_grid_original.92,"MULTILINESTRING ((583267.7533038886 1474731.267690493, 584195.4157345876 1475683.8538931545, 584195.4157345876 1476636.472438424, 584659.246949937 1477112.7938465194, 584659.246949937 1477589.1233486496, 584195.4157345876 1478065.4609476053))",gridfinder
modelled_grid_original.93,"MULTILINESTRING ((918617.722001239 1473778.713808093, 917226.2283551907 1473778.713808093, 916298.5659244917 1474731.267690493, 916298.5659244917 1475207.5567503958, 915834.7347091422 1475683.8538931545, 915834.7347091422 1476160.1591215662))",gridfinder
modelled_grid_original.94,"MULTILINESTRING ((808689.723963518 1472349.9435361107, 808225.8927481684 1472349.9435361107))",gridfinder
modelled_grid_original.95,"MULTILINESTRING ((808689.723963518 1472349.9435361107, 808689.723963518 1472826.1922236118))",gridfinder
modelled_grid_original.96,"MULTILINESTRING ((807762.0615328191 1471873.7029147127, 808225.8927481684 1472349.9435361107))",gridfinder
modelled_grid_original.97,"MULTILINESTRING ((809153.5551788674 1471873.7029147127, 808689.723963518 1472349.9435361107))",gridfinder
modelled_grid_original.98,"MULTILINESTRING ((807762.0615328191 1471873.7029147127, 808225.8927481684 1471397.4703566267, 808689.723963518 1471397.4703566267, 809153.5551788674 1471873.7029147127))",gridfinder
modelled_grid_original.99,"MULTILINESTRING ((806370.5678867737 1470921.245859058, 805906.7366714242 1471397.4703566267, 804515.243025376 1471397.4703566267, 804051.4118100264 1470921.245859058, 803587.580594677 1471397.4703566267, 803123.7493793307 1471397.4703566267))",gridfinder
modelled_grid_original.100,"MULTILINESTRING ((806370.5678867737 1470921.245859058, 806834.3991021202 1471397.4703566267, 807298.2303174696 1471397.4703566267, 807762.0615328191 1471873.7029147127))",gridfinder
modelled_grid_original.101,"MULTILINESTRING ((923719.8653700767 1470921.245859058, 924183.6965854261 1471397.4703566267, 924183.6965854261 1472349.9435361107, 923719.8653700767 1472826.1922236118, 923719.8653700767 1475683.8538931545, 923256.0341547272 1476160.1591215662, 923256.0341547272 1477589.1233486496, 921864.5405086821 1479018.1604471772))",gridfinder
modelled_grid_original.102,"MULTILINESTRING ((887541.0305728535 1470445.0294192203, 887077.1993575041 1470921.245859058, 887077.1993575041 1476160.1591215662, 887541.0305728535 1476636.472438424, 887541.0305728535 1478065.4609476053, 888004.8617882031 1478541.8066461836))",gridfinder
