FID,osm_id,power_substation,tags,geom
all_transmission_substations.76601,519343266,substation,{},POINT (775215.1739335088 545565.6977959626)
all_transmission_substations.106004,-11532747,substation,{},POINT (700637.3268757495 557605.4689645167)
all_transmission_substations.106021,564766381,substation,{},POINT (701461.8620725515 560604.3920771612)
all_transmission_substations.111086,567184002,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (644736.2510710646 619933.8402010134)
all_transmission_substations.111588,547224696,substation,{},POINT (658387.4482673868 617798.1401017103)
all_transmission_substations.111590,547224698,substation,{},POINT (658570.2534114668 618001.2186716852)
all_transmission_substations.117211,564766375,substation,{},POINT (704468.8148722552 556205.0860996211)
all_transmission_substations.140676,564734691,substation,{},POINT (742087.7355867288 600248.4815715874)
all_transmission_substations.140677,574204248,substation,{},POINT (741838.522663077 600824.0291616692)
all_transmission_substations.144371,837263048,substation,{},POINT (750222.4685710142 620501.8815767424)
all_transmission_substations.151249,564745420,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (842564.3153642368 508631.4543769308)
all_transmission_substations.151252,837260363,substation,{},POINT (843194.548051356 509015.8195441224)
all_transmission_substations.151254,725273472,substation,{},POINT (844137.1757630075 508983.59852074605)
all_transmission_substations.181872,553565905,substation,{},POINT (792155.1771331924 530817.0219267138)
all_transmission_substations.182736,746582404,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000""}",POINT (796639.2648925728 530727.4517171636)
all_transmission_substations.186084,564764050,substation,{},POINT (788428.7530321165 540033.7848660783)
all_transmission_substations.190815,655273147,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (804446.395668674 538747.1173400971)
all_transmission_substations.190903,564755238,substation,{},POINT (807494.8241146089 540582.7598794323)
all_transmission_substations.190904,564755237,substation,{},POINT (807592.9028248045 540570.7262891331)
all_transmission_substations.190905,564755236,substation,{},POINT (807704.0157557057 540517.0655333652)
all_transmission_substations.190909,564755235,substation,{},POINT (807219.5657246793 540782.1512699549)
all_transmission_substations.190929,858966071,substation,{},POINT (806739.0890821351 546185.2646720705)
all_transmission_substations.192660,565868863,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""132000""}",POINT (881979.4710487254 518398.0162995889)
all_transmission_substations.194383,563732518,substation,"{""location"":""outdoor"",""substation"":""transmission"",""voltage"":""330000;132000""}",POINT (815108.9052732758 563599.4870401626)
